tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|MPID|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTC|BAYRY|Bayer Aktiengesellschaft American Depositary Shares (Each repstg one Bayer AG ordinary share of no par value)|OTCX OTC LINK ECN ATS|OTCX|121490|440|2025-12-15
OTC|BBBXF|Brixton Metals Corp. Ordinary Shares (Canada)|OTCN OTC LINK NQB IDQS|OTCN|203300|9|2025-12-15
OTC|BBCMD|LIR LIFE SCIENCES CORP Common Shares|OTCX OTC LINK ECN ATS|OTCX|2|1|2025-12-15
OTC|BBIG|VINCO VENTURES INC Common Stock|OTCX OTC LINK ECN ATS|OTCX|895|34|2025-12-15
OTC|BBKCF|BIGG DIGITAL ASSETS INC Ordinary Shares|ARCA GLOBAL OTC|ARCA|20550|2|2025-12-15
OTC|BBKCF|BIGG DIGITAL ASSETS INC Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|294858|11|2025-12-15
OTC|BBKCF|BIGG DIGITAL ASSETS INC Ordinary Shares|OTCX OTC LINK ECN ATS|OTCX|135|1|2025-12-15
OTC|BBLR|Bubblr, Inc. Common Stock|OTCN OTC LINK NQB IDQS|OTCN|100000|4|2025-12-15
OTC|BBNA|Bonvenu Bancorp, Inc. Common Stock|OTCN OTC LINK NQB IDQS|OTCN|1480|2|2025-12-15
OTC|BBRRF|Blueberries Medical Co Common Shares (Canada)|OTCN OTC LINK NQB IDQS|OTCN|41579|1|2025-12-15
OTC|BBSEY|BB Seguridade Participacoes SA Sponsored ADR (Brazil)|ARCA GLOBAL OTC|ARCA|79552|165|2025-12-15
OTC|BBSEY|BB Seguridade Participacoes SA Sponsored ADR (Brazil)|OTCN OTC LINK NQB IDQS|OTCN|21759|23|2025-12-15
OTC|BBSEY|BB Seguridade Participacoes SA Sponsored ADR (Brazil)|OTCX OTC LINK ECN ATS|OTCX|82849|137|2025-12-15
OTC|BBUZ|Bebuzee Inc.  Common Stock|OTCN OTC LINK NQB IDQS|OTCN|10000|2|2025-12-15
OTC|BBXIA|BBX Capital, Inc. Common Stock Class A|ARCA GLOBAL OTC|ARCA|4500|7|2025-12-15
OTC|BBXIA|BBX Capital, Inc. Common Stock Class A|OTCN OTC LINK NQB IDQS|OTCN|751|3|2025-12-15
OTC|BBXIA|BBX Capital, Inc. Common Stock Class A|OTCX OTC LINK ECN ATS|OTCX|1100|5|2025-12-15
OTC|BCBNF|BASE CARBON INC COM (Canada)|OTCN OTC LINK NQB IDQS|OTCN|10944|6|2025-12-15
OTC|BCBNF|BASE CARBON INC COM (Canada)|OTCX OTC LINK ECN ATS|OTCX|1200|3|2025-12-15
OTC|BCCEF|Bactech Environmental Corp Ordinary Shares (Canada)|OTCN OTC LINK NQB IDQS|OTCN|63900|4|2025-12-15
OTC|BCDS|Blaqclouds, Inc. Common Stock|OTCN OTC LINK NQB IDQS|OTCN|4312241|28|2025-12-15
OTC|BCDS|Blaqclouds, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|50274|1|2025-12-15
OTC|BCEKF|Bear Creek Mining Corp Common Stock|ARCA GLOBAL OTC|ARCA|157946|39|2025-12-15
OTC|BCEKF|Bear Creek Mining Corp Common Stock|OTCN OTC LINK NQB IDQS|OTCN|527625|53|2025-12-15
OTC|BCEKF|Bear Creek Mining Corp Common Stock|OTCX OTC LINK ECN ATS|OTCX|106450|35|2025-12-15
OTC|BCHG|GRAYSCALE BITCOIN CASH TR BCH Common Stock|ARCA GLOBAL OTC|ARCA|118933|334|2025-12-15
OTC|BCHG|GRAYSCALE BITCOIN CASH TR BCH Common Stock|OTCN OTC LINK NQB IDQS|OTCN|115147|252|2025-12-15
OTC|BCHG|GRAYSCALE BITCOIN CASH TR BCH Common Stock|OTCX OTC LINK ECN ATS|OTCX|6872|19|2025-12-15
OTC|BCHPY|Brainchip Holdings Limited American Depositary Receipts - Sponsored|OTCN OTC LINK NQB IDQS|OTCN|1808|12|2025-12-15
OTC|BCHPY|Brainchip Holdings Limited American Depositary Receipts - Sponsored|OTCX OTC LINK ECN ATS|OTCX|23|3|2025-12-15
OTC|BCHT|Birchtech Corp. Common Stock|OTCN OTC LINK NQB IDQS|OTCN|26700|11|2025-12-15
OTC|BCHT|Birchtech Corp. Common Stock|OTCX OTC LINK ECN ATS|OTCX|1400|6|2025-12-15
OTC|BCII|BCII Enterprises Inc. Common Stock|OTCN OTC LINK NQB IDQS|OTCN|92398|8|2025-12-15
OTC|BCKIY|Babcock International Group plc Unsponsored ADR (United Kingdom)|OTCN OTC LINK NQB IDQS|OTCN|6743|14|2025-12-15
OTC|BCKIY|Babcock International Group plc Unsponsored ADR (United Kingdom)|OTCX OTC LINK ECN ATS|OTCX|1487|5|2025-12-15
OTC|BCLI|Brainstorm Cell Therapeutics Inc. Common Stock|OTCN OTC LINK NQB IDQS|OTCN|169|2|2025-12-15
OTC|BCLI|Brainstorm Cell Therapeutics Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|764|6|2025-12-15
OTC|BCNWF|BITCOIN WELL INC COM (Canada)|OTCN OTC LINK NQB IDQS|OTCN|120|1|2025-12-15
OTC|BCOW|1895 BANCORP WIS INC NEW Common Stock|OTCN OTC LINK NQB IDQS|OTCN|1600|3|2025-12-15
OTC|BCTF|BANCORP 34 INC Common Stock|OTCN OTC LINK NQB IDQS|OTCN|100|1|2025-12-15
OTC|BCUCY|Brunello Cucinelli S P A Unsponsored ADR|ARCA GLOBAL OTC|ARCA|1276|6|2025-12-15
OTC|BCUCY|Brunello Cucinelli S P A Unsponsored ADR|OTCN OTC LINK NQB IDQS|OTCN|1626|4|2025-12-15
OTC|BCUCY|Brunello Cucinelli S P A Unsponsored ADR|OTCX OTC LINK ECN ATS|OTCX|983|3|2025-12-15
OTC|BCUFF|Bell Copper Corporation Ordinary Shares|OTCN OTC LINK NQB IDQS|OTCN|2300|1|2025-12-15
OTC|BDCO|Blue Dolphin Energy Company Common Stock|OTCN OTC LINK NQB IDQS|OTCN|819|3|2025-12-15
OTC|BDGIF|BADGER INFRASTRUCTURE SOLUTIONS LTD Common Shares|OTCN OTC LINK NQB IDQS|OTCN|50|1|2025-12-15
OTC|BDLNF|BADLANDS RES INC Common Shares|OTCN OTC LINK NQB IDQS|OTCN|56|1|2025-12-15
OTC|BDNNY|Boliden AB Unsponsored ADR (Sweden)|ARCA GLOBAL OTC|ARCA|2803|31|2025-12-15
OTC|BDNNY|Boliden AB Unsponsored ADR (Sweden)|OTCN OTC LINK NQB IDQS|OTCN|691|15|2025-12-15
OTC|BDNNY|Boliden AB Unsponsored ADR (Sweden)|OTCX OTC LINK ECN ATS|OTCX|7613|55|2025-12-15
OTC|BDORY|Banco Do Brasil SA Sponsored ADR|ARCA GLOBAL OTC|ARCA|1287087|921|2025-12-15
OTC|BDORY|Banco Do Brasil SA Sponsored ADR|OTCN OTC LINK NQB IDQS|OTCN|1802678|838|2025-12-15
OTC|BDORY|Banco Do Brasil SA Sponsored ADR|OTCX OTC LINK ECN ATS|OTCX|791628|799|2025-12-15
